(86.60254037886915,-49.99999999926338)
(80.82903768694455,-46.66666666597916)
(75.05553499501993,-43.33333333269493)
(69.28203230309532,-39.999999999410704)
(63.508529611170715,-36.66666666612648)
(57.7350269192461,-33.33333333284226)
(51.96152422732149,-29.999999999558028)
(46.188021535396885,-26.666666666273805)
(40.41451884347227,-23.33333333298958)
(34.64101615154766,-19.999999999705352)
(28.867513459623055,-16.66666666642113)
(23.094010767698443,-13.333333333136906)
(17.32050807577383,-9.999999999852676)
(11.547005383849225,-6.666666666568453)
(5.7735026919246195,-3.33333333328423)
(0.0,0.0)
(-5.773502691924605,3.333333333284223)
(-11.54700538384921,6.666666666568446)
(-17.32050807577383,9.999999999852676)
(-23.094010767698435,13.333333333136899)
(-28.86751345962304,16.666666666421122)
(-34.64101615154766,19.999999999705352)
(-40.414518843472266,23.333333332989568)
(-46.18802153539687,26.666666666273798)
(-51.96152422732149,29.999999999558028)
(-57.73502691924608,33.333333332842244)
(-63.5085296111707,36.666666666126474)
(-69.28203230309532,39.999999999410704)
(-75.05553499501991,43.33333333269492)
(-80.82903768694453,46.66666666597915)
(-86.60254037886915,49.99999999926338)
